date,Actual,Predicted
2011-06,9.2,10.3
2011-07,10.3,10.8
2011-08,11.6,11.5
2011-09,11.5,10.7
2011-10,8.9,6.3
2011-11,6.7,4.4
2011-12,3.4,3.4
2012-01,2.4,3.4
2012-02,0.8,1.9
2012-03,2.8,5.1
2012-04,3.5,3.9
2012-05,7.1,7.9
2012-06,10.3,9.0
2012-07,11.7,10.7
2012-08,12.3,11.5
2012-09,8.9,9.5
2012-10,6.0,4.7
2012-11,3.8,3.4
2012-12,2.1,2.0
2013-01,1.0,1.2
2013-02,0.5,1.2
2013-03,-0.2,-0.1
2013-04,3.2,4.5
2013-05,6.0,6.8
2013-06,9.6,7.7
2013-07,12.7,12.9
2013-08,12.7,11.5
2013-09,9.7,9.4
2013-10,9.5,6.5
2013-11,2.9,3.0
2013-12,3.2,2.5
2014-01,3.0,2.1
2014-02,3.7,3.3
2014-03,3.2,4.4
2014-04,6.2,5.9
2014-05,8.2,8.3
2014-06,10.4,10.2
2014-07,12.4,12.8
2014-08,11.1,10.7
2014-09,10.0,10.7
2014-10,9.4,6.5
2014-11,5.0,3.5
2014-12,2.3,2.7
2015-01,1.6,2.0
2015-02,1.3,1.1
2015-03,2.9,3.9
2015-04,3.7,6.9
2015-05,6.6,7.2
2015-06,8.8,10.3
2015-07,11.2,11.5
2015-08,12.1,10.8
2015-09,7.7,7.1
2015-10,7.4,6.3
2015-11,6.5,4.2
2015-12,7.4,4.7
2016-01,2.8,2.1
2016-02,1.9,2.8
2016-03,1.9,3.4
2016-04,3.2,3.5
2016-05,7.1,10.0
2016-06,11.3,10.1
2016-07,12.8,10.8
2016-08,12.9,11.5
2016-09,12.3,10.2
2016-10,7.5,6.9
2016-11,3.1,2.8
2016-12,2.7,2.4
2017-01,1.0,1.1
2017-02,3.6,2.1
2017-03,5.2,4.5
2017-04,4.6,6.5
2017-05,8.6,8.9
2017-06,12.2,10.2
2017-07,12.4,10.8
2017-08,11.7,10.5
2017-09,10.0,9.1
2017-10,9.8,6.2
2017-11,3.7,3.9
2017-12,2.1,2.7
2018-01,2.9,2.7
2018-02,0.2,1.2
2018-03,1.7,1.8
2018-04,6.5,6.6
2018-05,8.1,9.5
2018-06,10.9,10.8
2018-07,12.9,12.4
2018-08,12.6,12.3
2018-09,9.9,9.7
2018-10,7.2,6.3
2018-11,5.8,3.5
2018-12,4.3,2.9
2019-01,1.8,1.8
2019-02,1.7,4.0
2019-03,4.3,4.0
2019-04,3.4,6.5
2019-05,6.3,6.8
2019-06,10.2,9.4
2019-07,13.0,11.3
2019-08,13.2,11.0
2019-09,10.1,8.9
2019-10,6.9,4.6
2019-11,4.0,2.1
2019-12,3.3,2.8
2020-01,4.1,3.3
2020-02,3.2,3.1
2020-03,2.7,4.1
2020-04,5.2,8.1
2020-05,6.7,9.7
2020-06,11.0,10.7
2020-07,12.1,11.1
2020-08,13.8,11.8
2020-09,9.6,9.5
2020-10,7.8,6.6
2020-11,5.3,3.9
2020-12,2.5,0.9
2021-01,0.2,0.8
2021-02,2.1,1.7
2021-03,4.0,3.5
2021-04,0.6,4.0
2021-05,6.2,6.3
2021-06,11.4,10.7
2021-07,13.5,11.1
2021-08,13.0,10.2
2021-09,11.8,11.5
2021-10,9.7,6.2
2021-11,4.4,3.6
2021-12,3.7,3.4
2022-01,1.2,2.0
2022-02,4.0,4.5
2022-03,2.9,4.4
2022-04,4.3,5.8
2022-05,9.1,8.4
2022-06,10.2,10.8
2022-07,13.2,12.5
2022-08,12.7,12.2
2022-09,10.0,9.5
2022-10,9.5,6.3
2022-11,6.9,3.5
2022-12,1.2,1.2
2023-01,2.7,3.0
2023-02,3.4,3.9
2023-03,3.9,3.5
2023-04,4.5,5.1
2023-05,7.8,10.0
2023-06,11.4,10.8
2023-07,12.3,10.7
2023-08,12.2,11.5
2023-09,12.6,10.7
2023-10,9.0,6.5
2023-11,4.6,3.5
2023-12,5.0,3.3
2024-01,2.2,2.6
2024-02,4.9,3.3
2024-03,4.8,4.4
2024-04,5.8,4.8
2024-05,10.0,9.4
2024-06,9.7,10.0
2024-07,11.7,10.8
2024-08,12.4,12.2
2024-09,10.6,8.9
2024-10,7.9,7.0
2024-11,4.0,3.1
2024-12,4.8,3.0
